Date,Open,High,Low,Close,Adj Close,Volume,Close_1,Close_inc,Volume_1,Volume_inc,MA5,MA5_1,MA5_inc,EMA5,MA10,MA10_1,MA10_inc,EMA10,MA20,MA20_1,MA20_inc,EMA20,RSI12,OBV,ROC5,ROC10,ROC20,MACD,MACDsignal,MACDhist,STOCHk3,STOCHd3,CCI10,ATR14,BBM20,BBU20,BBL20,MOM10
2020-03-03,165.78029,166.92491,154.77277,156.91895,156.91895,71677000,164.8169,-7.897949,71030800.0,646200.0,157.8938,158.57295,-0.6791504,159.44014,163.7686,165.88712,-2.1185136,162.42616,169.47998,169.92805,-0.44807512,164.832,34.48435,112246800.0,-2.1181788,-11.894806,-5.402386,-1.78383,0.3187095,-2.1025395,54.391167,66.951195,-42.81991,7.003074,169.47998,186.8837,152.07628,-21.185135
2020-03-04,160.7153,162.8233,157.97772,162.68024,162.68024,49814400,156.91895,5.7612915,71677000.0,-21862600.0,157.9663,157.8938,0.07249145,160.52017,162.17279,163.7686,-1.5958023,162.47237,169.04697,169.47998,-0.43302077,164.62396,38.94675,162061200.0,0.22330104,-8.933149,-5.0545015,-1.6921583,-0.08349831,-1.6086601,65.070595,72.94678,-14.3296795,7.1530266,169.04697,186.68512,151.4088,-15.958023
2020-03-05,158.38788,162.98546,158.0445,158.59773,158.59773,47817300,162.68024,-4.0825043,49814400.0,-1997100.0,159.50963,157.9663,1.543341,159.87935,160.44154,162.17279,-1.7312485,161.76776,168.42027,169.04697,-0.62668455,164.04218,34.754757,114243900.0,5.1144304,-9.84166,-7.324015,-1.9156705,-0.44995767,-1.4657128,31.47565,50.31247,-13.587212,7.277651,168.42027,186.62805,150.21251,-17.312485
2020-03-06,155.10661,155.58354,148.80162,154.11461,154.11461,72821100,158.59773,-4.483124,47817300.0,25003800.0,159.42569,159.50963,-0.0839508,157.95778,158.81808,160.44154,-1.623462,160.37607,167.39203,168.42027,-1.0282494,163.08499,31.947763,41422800.0,-0.27162504,-9.530198,-11.772976,-2.4151762,-0.84302276,-1.5721534,37.458027,44.66809,-110.21858,7.7898383,167.39203,186.4159,148.36816,-16.23462
2020-03-09,144.03238,150.47092,143.07852,143.6699,143.6699,70419300,154.11461,-10.444702,72821100.0,-2401800.0,155.19629,159.42569,-4.229398,153.19514,156.88461,158.81808,-1.9334671,157.33823,165.82918,167.39203,-1.5628517,161.21524,28.688543,-28996500.0,-12.830595,-11.861428,-17.868622,-3.5877023,-1.3919826,-2.1957197,2.970755,23.968145,-155.56277,8.418458,165.82918,187.23343,144.42493,-19.334671
2020-03-10,150.86198,153.59955,145.53947,153.49463,153.49463,65354400,143.6699,9.824722,70419300.0,-5064900.0,154.51143,155.19629,-0.68486327,153.29498,156.2026,156.88461,-0.68200684,156.63933,164.52878,165.82918,-1.3003929,160.4725,39.45329,36357900.0,-2.18222,-4.254175,-14.488856,-3.7021308,-1.8540283,-1.8481025,83.29541,41.241398,-68.23282,9.011212,164.52878,185.59277,143.46478,-6.8200684
2020-03-11,149.8795,150.42319,144.17543,146.541,146.541,56371600,153.49463,-6.9536285,65354400.0,-8982800.0,151.28357,154.51143,-3.2278473,151.04366,154.62494,156.2026,-1.577678,154.80312,163.08333,164.52878,-1.4454552,159.13356,39.64731,-20013700.0,-9.920835,-9.7196865,-16.477108,-4.2902865,-2.3412936,-1.9489932,32.910076,39.725414,-100.40855,9.25581,163.08333,184.9443,141.22235,-15.776779
2020-03-12,138.59538,146.38838,132.18547,132.64331,132.64331,93226400,146.541,-13.89769,56371600.0,36854800.0,146.0927,151.28357,-5.1908846,144.9102,152.80116,154.62494,-1.8237717,150.77379,160.93015,163.08333,-2.1531816,156.58983,34.749237,-113240100.0,-16.364939,-12.0874815,-24.508781,-5.7849274,-3.0300357,-2.7548919,2.1380649,39.44785,-167.81693,9.792694,160.93015,185.82805,136.03226,-18.237717
2020-03-13,140.69385,154.43892,134.23622,151.50104,151.50104,92727400,132.64331,18.857727,93226400.0,-499000.0,145.56998,146.0927,-0.52271426,147.10715,152.49783,152.80116,-0.3033325,150.90602,159.76741,160.93015,-1.1627319,156.10156,44.97251,-20512700.0,-1.695862,-1.9628807,-13.306943,-5.4171553,-3.5074682,-1.9096869,86.798096,40.615414,-54.483955,10.303009,159.76741,184.11263,135.42221,-3.0333252
2020-03-16,133.5399,142.45847,128.77061,129.17123,129.17123,87905900,151.50104,-22.329803,92727400.0,-4821500.0,142.67024,145.56998,-2.8997345,141.12851,148.93326,152.49783,-3.5645661,146.95407,157.41019,159.76741,-2.357226,153.51944,40.837353,-108418600.0,-10.091656,-21.627432,-26.738688,-6.8132477,-4.1686335,-2.6446145,1.5607498,30.165636,-143.39014,11.436737,157.41019,184.032,130.78839,-35.64566
