Date,Open,High,Low,Close,Adj Close,Volume,Close_1,Close_inc,Volume_1,Volume_inc,MA5,MA5_1,MA5_inc,EMA5,MA10,MA10_1,MA10_inc,EMA10,MA20,MA20_1,MA20_inc,EMA20,RSI12,OBV,ROC5,ROC10,ROC20,MACD,MACDsignal,MACDhist,STOCHk3,STOCHd3,CCI10,ATR14,BBM20,BBU20,BBL20,MOM10
2020-02-03,48.63272,49.259884,48.59583,48.96475,48.96475,8892500,48.374477,0.590271,8884700.0,7800.0,48.975815,48.90203,0.073783875,49.006725,49.544872,49.73302,-0.18814965,49.34617,49.926266,49.94618,-0.019910812,49.635216,37.629528,83144100.0,0.7591585,-3.7003646,-0.80671054,-0.26836437,-0.123922355,-0.144442,66.94205,46.410397,-56.26054,0.8346793,49.926266,51.531864,48.32067,-1.8814964
2020-02-04,49.573463,50.320526,49.573463,49.84093,49.84093,9769800,48.96475,0.87618256,8892500.0,877300.0,49.082806,48.975815,0.10698929,49.284832,49.436043,49.544872,-0.10883026,49.437225,49.93731,49.926266,0.011042977,49.65724,40.113693,92913900.0,1.0849524,-2.1368918,0.4451012,-0.21685895,-0.14264785,-0.074211106,77.09251,51.425083,41.89232,0.8867233,49.93731,51.537067,48.337555,-1.0883026
2020-02-05,50.42197,50.753998,50.338966,50.486534,50.486534,9612900,49.84093,0.6456032,9769800.0,-156900.0,49.36687,49.082806,0.28406602,49.685436,49.437885,49.436043,0.0018440246,49.629917,49.975124,49.93731,0.03781376,49.745007,47.375374,102526800.0,2.8947217,0.036538426,1.5207546,-0.13048221,-0.14020027,0.009718063,87.60693,77.21383,109.83294,0.9190031,49.975124,51.589954,48.360294,0.018440247
2020-02-06,50.726334,51.049137,50.458866,50.458866,50.458866,8832000,50.486534,-0.027668,9612900.0,-780900.0,49.62511,49.36687,0.25824127,49.94326,49.412983,49.437885,-0.024901962,49.781864,50.00187,49.975124,0.026746368,49.81976,46.540035,93694800.0,2.6261294,-0.49108657,1.0714847,-0.06375728,-0.12483913,0.061081853,59.999943,74.899796,118.22505,0.91570884,50.00187,51.63079,48.37295,-0.24901962
2020-02-07,50.05306,50.69867,49.979275,50.468094,50.468094,7864800,50.458866,0.009227753,8832000.0,-967200.0,50.043835,49.62511,0.4187233,50.118214,49.47293,49.412983,0.059949875,49.907467,50.017548,50.00187,0.01567917,49.887016,50.0,101559600.0,4.327936,1.2021569,0.62523466,-0.010478512,-0.10188027,0.091401756,45.690006,64.4323,84.611015,0.91175634,50.017548,51.658646,48.376453,0.59949875
2020-02-10,50.468094,50.790894,50.21907,50.717113,50.717113,7198200,50.468094,0.24901962,7864800.0,-666600.0,50.394306,50.043835,0.35047302,50.317852,49.685062,49.47293,0.21212845,50.055477,50.04245,50.017548,0.024902154,49.9724,50.072605,108757800.0,3.57883,4.3651576,0.9917409,0.0486044,-0.0716921,0.12029649,68.96588,58.21861,81.994446,0.9236142,50.04245,51.711304,48.3736,2.1212845
2020-02-11,50.883118,51.22437,50.82778,50.864674,50.864674,8466600,50.717113,0.14756012,7198200.0,1268400.0,50.599056,50.394306,0.20474854,50.50013,49.84093,49.685062,0.15586892,50.20326,50.068737,50.04245,0.026285172,50.063488,58.794815,117224400.0,2.05402,3.1612575,1.0443269,0.10452974,-0.03636231,0.14089204,71.111015,61.922302,96.94569,0.89067423,50.068737,51.77343,48.364044,1.5586891
2020-02-12,51.233597,51.54718,50.95691,51.399612,51.399612,7541100,50.864674,0.5349388,8466600.0,-925500.0,50.781673,50.599056,0.18261567,50.79996,50.074272,49.84093,0.23334083,50.42157,50.107933,50.068737,0.03919754,50.198956,78.46455,124765500.0,1.8085581,4.7556324,1.5488305,0.18516868,0.008029757,0.17713892,88.8889,76.32193,103.2564,0.8919922,50.107933,51.89942,48.31645,2.3334084
2020-02-13,51.01224,51.316597,50.73555,51.01224,51.01224,8480100,51.399612,-0.38737106,7541100.0,939000.0,50.892345,50.781673,0.11067505,50.87072,50.258728,50.074272,0.18445817,50.529285,50.133297,50.107933,0.025362968,50.28091,68.53716,116285400.0,1.0966859,3.7516155,1.0043749,0.2180082,0.050090533,0.16791767,34.090874,64.69693,71.7679,0.85246587,50.133297,51.96242,48.304176,1.8445816
2020-02-14,51.0768,51.501057,50.94768,51.15981,51.15981,7496800,51.01224,0.14756775,8480100.0,-983300.0,51.03069,50.892345,0.13834305,50.967083,50.537262,50.258728,0.27853316,50.644207,50.135143,50.133297,0.0018442154,50.368988,73.21045,123782200.0,1.3705992,5.757854,0.07214827,0.25183234,0.0904889,0.16134343,52.272522,58.41743,89.497406,0.7971283,50.135143,51.968536,48.30175,2.7853317
