Price,Open,High,Low,Close,Adj Close,Volume
Ticker,NVDA,NVDA,NVDA,NVDA,,NVDA
Date,,,,,,
2020-01-02,5.942537349164542,5.971409797668457,5.892010445596926,5.971409797668457,5.971409797668457,237536000
2020-01-03,5.851688071391556,5.9196385190543355,5.826797767959651,5.875831604003906,5.875831604003906,205384000
2020-01-06,5.782493763678408,5.905700039221264,5.756359156713934,5.900473117828369,5.900473117828369,262636000
2020-01-07,5.928847945646861,6.017706082693678,5.88379672631697,5.971908092498779,5.971908092498779,314856000
2020-01-08,5.967676046816965,6.0244258788447835,5.927602987861085,5.983108043670654,5.983108043670654,277108000
2020-01-09,6.069477507253272,6.121249187426067,5.9950558356906445,6.048818588256836,6.048818588256836,255112000
2020-01-10,6.156095965769185,6.186461959258033,6.066989057902304,6.081176280975342,6.081176280975342,316296000
2020-01-13,6.164310750947171,6.296975355860733,6.141660279602072,6.271836280822754,6.271836280822754,319840000
2020-01-14,6.229023873013879,6.254412184065293,6.141659275586218,6.15485143661499,6.15485143661499,359088000
2020-01-15,6.167545732133441,6.189946961885436,6.086403584319438,6.1122894287109375,6.1122894287109375,263104000
2020-01-16,6.165801340221899,6.201892250925176,6.142404582017831,6.195918560028076,6.195918560028076,284192000
2020-01-17,6.215086126328671,6.2225533612697275,6.1570919783749245,6.20463228225708,6.20463228225708,253792000
2020-01-21,6.168042151475357,6.204879835864673,6.137178158466554,6.17127799987793,6.17127799987793,217916000
2020-01-22,6.216578763004167,6.311908122294993,6.197662150369321,6.225290298461914,6.225290298461914,239240000
2020-01-23,6.2653639205825,6.302201135372716,6.176505782975215,6.29373836517334,6.29373836517334,244516000
2020-01-24,6.409227652694114,6.459008251544268,6.180237752520761,6.234498500823975,6.234498500823975,373512000
2020-01-27,5.92984403404607,6.029654028501746,5.7802538998042525,5.978629112243652,5.978629112243652,470536000
2020-01-28,6.044586144319764,6.204381307097855,5.991320931812742,6.172024250030518,6.172024250030518,310976000
2020-01-29,6.157588498886928,6.19367941361647,6.071716979375738,6.111541748046875,6.111541748046875,258848000
2020-01-30,6.013723391219513,6.131703216878175,5.958716335413208,6.11826229095459,6.11826229095459,290504000
2020-01-31,6.07246444119071,6.084411825677321,5.842976956920806,5.884792327880859,5.884792327880859,370420000
2020-02-03,5.866622000062996,6.0012781176509895,5.860399542958125,5.981863975524902,5.981863975524902,255564000
2020-02-04,6.1237384171402685,6.170283177377277,6.073709042756878,6.151117324829102,6.151117324829102,271544000
